"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jaylin Noel","HOU","WR122","4.2","22.2","0.1","21.6","239.3","1.4","0.3","34.6"
"Jake Tonges","SF","TE45","0.0","0.0","0.0","23.7","250.7","1.5","0.1","34.2"
"Josh Oliver","MIN","TE46","0.0","0.0","0.0","18.6","193.6","2.4","0.1","33.5"
"Austin Hooper","ATL","TE47","0.0","0.0","0.0","22.5","237.0","1.6","0.1","33.2"
"George Holani","SEA","RB74","38.9","164.2","1.5","8.0","62.2","0.3","0.2","33.1"
"Tutu Atwell","MIA","WR123","2.2","11.3","0.1","20.3","291.1","0.4","0.2","32.9"
"Daniel Bellinger","TEN","TE48","0.0","0.0","0.0","19.3","222.3","1.7","0.0","32.6"
"Erick All Jr.","CIN","TE49","0.0","0.0","0.0","26.1","228.3","1.6","0.1","32.4"
"Zachariah Branch","ATL","WR124","0.0","0.0","0.0","21.0","251.6","1.3","0.2","32.4"
"Frank Gore Jr.","BUF","RB75","37.0","174.0","2.0","3.0","26.0","0.0","0.0","32.0"
"Charlie Kolar","LAC","TE50","0.0","0.0","0.0","17.8","205.2","1.9","0.0","31.6"
"Roschon Johnson","CHI","RB76","34.0","116.0","3.0","3.0","17.0","0.0","0.0","31.3"
"Brock Wright","DET","TE51","0.0","0.0","0.0","19.4","174.6","2.3","0.0","31.3"
"Kyle Juszczyk","SF","RB77","4.2","10.3","0.1","23.8","208.0","1.5","0.1","31.2"
"Eli Stowers","PHI","TE52","0.0","0.0","0.0","22.7","232.3","1.5","0.6","31.2"
"Luke McCaffrey","WAS","WR125","0.0","0.0","0.0","12.0","189.0","2.0","0.0","30.9"
"Jaydon Blue","DAL","RB78","44.2","186.4","1.4","4.4","30.8","0.2","0.2","30.9"
"Kevin Coleman Jr.","MIA","WR126","0.0","0.0","0.0","21.1","270.0","0.7","0.2","30.5"
"Noah Gray","KC","TE53","0.0","0.0","0.0","21.0","211.3","1.5","0.1","29.8"
"Luke Musgrave","GB","TE54","0.0","0.0","0.0","23.0","223.1","1.2","0.1","29.6"
"Elijah Arroyo","SEA","TE55","0.0","0.0","0.0","19.0","198.7","1.6","0.1","29.1"
"Treylon Burks","WAS","WR127","0.0","0.0","0.0","15.8","215.5","1.3","0.1","29.0"
"Jalen Royals","KC","WR128","0.0","0.0","0.0","17.1","198.7","1.6","0.2","28.9"
"Ollie Gordon II","MIA","RB79","45.1","185.2","1.1","3.9","27.7","0.1","0.2","28.3"
"Adam Trautman","DEN","TE56","0.0","0.0","0.0","19.4","194.0","1.5","0.0","28.2"
"Ray Davis","BUF","RB80","32.3","137.8","1.1","7.8","60.0","0.4","0.2","28.1"
"Eli Raridon","NE","TE57","0.0","0.0","0.0","18.8","195.8","1.5","0.6","27.7"
"Isaiah Davis","NYJ","RB81","26.4","135.0","0.9","9.9","78.2","0.2","0.0","27.7"
"Kendrick Bourne","ARI","WR129","0.0","0.0","0.0","22.7","239.7","0.7","0.2","27.5"
"Skyler Bell","BUF","WR130","0.0","0.0","0.0","15.1","205.5","1.2","0.2","27.5"
